CapRank,ESGRank,Company,Sector,ESG_z,ESG_pct,Truvalue,SA_Band,SA_Risk,ISS,Transition_Score,Trans_Conf,Trans_T1,Trans_T2,Trans_T3,TV_Watchlist,TV_Reason,Trans_Watchlist,Trans_Reason,Any_Watchlist,Watchlist_Reasons
29,74,Benefit Systems,Services,0.1968498366765832,69.19831223628692,Average,Low,13.32,Medium,30.0,MEDIUM,0.0,100.0,0.0,False,,True,"Weak transition evidence (Tier 1 = 0, no measurable target)",True,"Transition: Weak transition evidence (Tier 1 = 0, no measurable target)"
30,78,Ipsen SA,Health Care,0.1681224405405086,67.51054852320675,Average,Medium,21.92,Medium,86.66666666666667,MEDIUM,100.0,100.0,33.33333333333333,False,,False,,False,
31,79,Next plc,Consumer Goods,0.1669190664266716,67.08860759493672,Average,Low,16.84,Medium,72.91666666666667,MEDIUM,72.5,100.0,33.33333333333333,False,,False,,False,
32,82,Swedish Orphan Biovitrum AB,Health Care,0.1519989413421956,65.82278481012658,Laggard,Low,19.0,Good,65.0,MEDIUM,100.0,50.0,0.0,True,Truvalue=Laggard,False,,True,Truvalue: Truvalue=Laggard
33,84,Tele2 AB Class B,Technology & Communications,0.14478592158261,64.9789029535865,Average,Low,18.12,Good,91.83333333333331,HIGH,97.0,100.0,66.66666666666666,False,,False,,False,
34,86,Moncler SpA,Consumer Goods,0.1212881727039412,64.13502109704642,Average,Negligible,8.5,Good,71.66666666666667,HIGH,100.0,50.0,33.33333333333333,False,,False,,False,
35,89,ASML Holding NV,Technology & Communications,0.0921886994100468,62.86919831223629,Below Average,Negligible,8.7,Good,93.33333333333331,MEDIUM,100.0,100.0,66.66666666666666,True,Truvalue=Below Average,False,,True,Truvalue: Truvalue=Below Average
36,92,MITIE Group PLC,Services,0.0518930903314786,61.60337552742617,Average,Low,12.22,Good,86.66666666666667,MEDIUM,100.0,100.0,33.33333333333333,False,,False,,False,
37,93,Publicis Groupe SA,Services,0.051496960953425,61.18143459915611,Average,Negligible,9.1,Good,83.33333333333333,MEDIUM,100.0,66.66666666666666,66.66666666666666,False,,False,,False,
38,97,AIXTRON SE,Technology & Communications,0.0276277208806612,59.49367088607595,Below Average,Low,17.7,Medium,15.0,HIGH,0.0,50.0,0.0,True,Truvalue=Below Average,True,"Weak transition evidence (Tier 1 = 0, no measurable target)",True,"Truvalue: Truvalue=Below Average | Transition: Weak transition evidence (Tier 1 = 0, no measurable target)"
39,99,Vallourec SA,Extractives & Minerals Processing,0.0049284477634583,58.64978902953587,Above Average,Medium,21.02,Good,36.66666666666666,HIGH,0.0,100.0,33.33333333333333,False,,True,"Weak transition evidence (Tier 1 = 0, no measurable target)",True,"Transition: Weak transition evidence (Tier 1 = 0, no measurable target)"
40,104,Subsea 7 S.A.,Extractives & Minerals Processing,-0.0317670553101745,55.69620253164557,Average,Low,18.6,Medium,71.66666666666667,HIGH,100.0,50.0,33.33333333333333,False,,False,,False,
