rank,company,return_5y_pct,return_10y_pct,bb_ticker,yf_ticker,idBbCompany
101,Sulzer AG,,,SUN SW,SUN.SW,116648
102,Munchener Ruckversicherungs-Gesellschaft AG,,,MUV2 GR,MUV2.DE,117803
103,Nordic Semiconductor ASA,,,NOD NO,NOD.OL,180737
104,AL Sydbank A/S,,,ALSYDB DC,ALSYDB.CO,120301
105,SBM Offshore NV,,,SBMO NA,SBMO.AS,116096
106,Iberdrola SA,,,IBE SM,IBE.MC,115724
107,Jyske Bank A/S,,,JYSK DC,JYSK.CO,120198
108,Beazley Plc,,,BEZ LN,BEZ.L,49030384
109,Assicurazioni Generali S.p.A.,,,G IM,G.MI,115702
110,TAURON Polska Energia S.A.,,,TPE PW,TPE.WA,12460138
111,Neste Corporation,,,NESTE FH,NESTE.HE,9538704
112,Standard Chartered PLC,,,STAN LN,STAN.L,112319
113,InterContinental Hotels Group PLC,,,IHG LN,IHG.L,965798
114,Financiere de Tubize S.A.,,,TUB BB,TUB.BR,118874
115,UCB S.A.,,,UCB BB,UCB.BR,118116
116,LVMH Moet Hennessy Louis Vuitton SE,,,MC FP,MC.PA,115428
117,Moncler SpA,,,MONC IM,MONC.MI,15090619
118,AstraZeneca PLC,,,AZN LN,AZN.L,111093
119,Siemens Aktiengesellschaft,,,SIE GR,SIE.DE,115746
120,Swedish Orphan Biovitrum AB,,,SOBI SS,SOBI.ST,7133235
121,Deutsche Boerse AG,,,DB1 GR,DB1.DE,304968
122,Banca Mediolanum SpA,,,BMED IM,BMED.MI,905075
123,Ferrovial N.V.,,,FER SM,FER.MC,7423829
124,Christian Dior SE,,,CDI FP,CDI.PA,115282
125,HSBC Holdings Plc,,,HSBA LN,HSBA.L,111759
126,Bankinter SA,,,BKT SM,BKT.MC,127039
127,Balfour Beatty plc,,,BBY LN,BBY.L,111200
128,ICG plc,,,ICG LN,ICG.L,148255
129,Norsk Hydro ASA,,,NHY NO,NHY.OL,101079
130,VZ Holding AG,,,VZN SW,VZN.SW,11599516
131,Rexel SA,,,RXL FP,RXL.PA,11583006
132,Legrand SA,,,LR FP,LR.PA,10575328
133,Indutrade AB,,,INDT SS,INDT.ST,7635978
134,London Stock Exchange Group plc,,,LSEG LN,LSEG.L,1409202
135,OMV AG,,,OMV AV,OMV.VI,115822
136,Partners Group Holding AG,,,PGHN SW,PGHN.SW,942223
137,Elia Group SA/NV,,,ELI BB,ELI.BR,7559480
138,Allianz SE,,,ALV GR,ALV.DE,115649
139,Sacyr SA,,,SCYR SM,SCYR.MC,115759
140,Intesa Sanpaolo S.p.A.,,,ISP IM,ISP.MI,128042
141,A.P. Moller - Maersk A/S Class B,,,MAERSK/B DC,MAERSK-B.CO,136124
142,KBC Ancora SCA,,,KBCA BB,KBCA.BR,7282482
143,Kingspan Group Plc,,,KRX ID,KRX.IR,119038
144,Compagnie Financiere Richemont SA,,,CFR SW,CFR.SW,117896
145,DNB Bank ASA,,,DNB NO,DNB.OL,135072
146,Fresnillo PLC,,,FRES LN,FRES.L,14453817
147,Industrivarden AB Class C,,,INDU/C SS,INDU-C.ST,117639
148,NN Group N.V.,,,NN NA,NN.AS,39780127
149,Enel SpA,,,ENEL IM,ENEL.MI,918049
150,Bilfinger SE,,,GBF GR,GBF.DE,116668
151,Hiab Oyj Class B,,,HIAB FH,HIAB.HE,
152,E.ON SE,,,EOAN GR,EOAN.DE,115761
153,Coca-Cola HBC AG,,,CCH LN,CCH.L,32947065
154,SPIE SA,,,SPIE FP,SPIE.PA,358308
155,UBS Group AG,,,UBSG SW,UBSG.SW,41234897
156,Reply S.p.A.,,,REY IM,REY.MI,7017936
157,IMCD N.V.,,,IMCD NA,IMCD.AS,58076078
158,Ipsen SA,,,IPN FP,IPN.PA,1711780
159,Kesko Oyj Class B,,,KESKOB FH,KESKOB.HE,117679
160,Wartsila Oyj Abp,,,WRT1V FH,WRT1V.HE,115782
161,ING Groep N.V.,,,INGA NA,INGA.AS,115823
162,KBC Group N.V.,,,KBC BB,KBC.BR,115719
163,Interpump Group S.p.A.,,,IP IM,IP.MI,193333
164,Tele2 AB Class B,,,TEL2/B SS,TEL2-B.ST,180718
165,Equinor ASA,,,EQNR NO,EQNR.OL,182074
166,NatWest Group Plc,,,NWG LN,NWG.L,112194
167,Tesco PLC,,,TSCO LN,TSCO.L,112370
168,Air Liquide SA,,,AI FP,AI.PA,115230
169,Banca Generali S.p.A.,,,BGN IM,BGN.MI,1135757
170,Hannover Rueck SE,,,HNR1 GR,HNR1.DE,153902
171,Sartorius Stedim Biotech SA,,,DIM FP,DIM.PA,153809
172,Erste Bank Polska S.A.,,,EBP PW,EBP.WA,
"173,""Banco Santander, S.A."",,,SAN SM,SAN.MC,100158"
174,Buzzi Spa,,,BZU IM,BZU.MI,866731
175,Helvetia Baloise Holding AG,,,HBAN SW,HBAN.SW,191206
176,Sweco AB Class B,,,SWEC/B SS,SWEC-B.ST,328541
