ticker,financial_verdict,composite_financial_score,vol_annual,sharpe_ratio,beta,data_vintage
SBMO.AS,PASSED,61.33,0.2615,0.7815,0.689,2026-05-20
SMIN.L,PASSED,47.59,0.2249,0.3171,0.942,2026-05-20
EQNR.OL,PASSED,50.89,0.3235,0.57,0.0618,2026-05-20
ATCO-A.ST,PASSED,38.82,0.2906,0.1836,1.343,2026-05-20
IFX.DE,PASSED,35.56,0.3835,0.3355,1.6921,2026-05-20
III.L,PASSED,49.83,0.3122,0.2805,1.2367,2026-05-20
CFR.SW,PASSED,26.39,0.3409,0.2877,1.5642,2026-05-20
TREL-B.ST,PASSED,39.05,0.3193,0.3716,1.1965,2026-05-20
A2A.MI,PASSED,67.59,0.2442,0.3568,0.8646,2026-05-20
EOAN.DE,PASSED,66.76,0.215,0.6133,0.5788,2026-05-20
VIE.PA,PASSED,50.37,0.2414,0.3366,1.1136,2026-05-20
WRT1V.HE,PASSED,57.61,0.3408,0.6946,1.3432,2026-05-20
HNR1.DE,PASSED,57.43,0.227,0.5227,0.773,2026-05-20
AZN.L,PASSED,50.71,0.2384,0.3455,0.6464,2026-05-20
BARC.L,REVIEW_REQUIRED,41.29,0.3117,0.4828,1.4388,2026-05-20
HBAN.SW,PASSED,70.29,0.1979,0.828,0.8006,2026-05-20
LLOY.L,REVIEW_REQUIRED,42.7,0.2724,0.4212,1.1863,2026-05-20
SLHN.SW,PASSED,70.33,0.1956,0.7441,0.9045,2026-05-20
ZURN.SW,PASSED,62.37,0.1707,0.6632,0.7222,2026-05-20
FRO.OL,PASSED,64.34,0.458,0.675,0.4289,2026-05-20
KCR.HE,PASSED,42.57,0.3604,0.4725,1.4335,2026-05-20
NKT.CO,PASSED,49.59,0.3592,0.7123,1.1382,2026-05-20
FHZN.SW,PASSED,48.17,0.2068,0.3031,0.7326,2026-05-20
HUBN.SW,REVIEW_REQUIRED,68.88,0.2779,0.9347,0.9029,2026-05-20
RMS.PA,PASSED,45.68,0.2865,0.2138,1.2862,2026-05-20
TLX.DE,REVIEW_REQUIRED,65.98,0.2356,0.9981,0.8927,2026-05-20
G1A.DE,PASSED,58.3,0.224,0.3925,0.9054,2026-05-20
ENI.MI,PASSED,67.88,0.236,0.911,0.6965,2026-05-20
FNTN.DE,PASSED,51.04,0.249,0.3648,0.6164,2026-05-20
FER.MC,PASSED,64.48,0.2113,0.7925,0.9261,2026-05-20
SAB.MC,REVIEW_REQUIRED,55.37,0.3641,0.9602,1.1938,2026-05-20
NEX.PA,PASSED,40.23,0.362,0.407,1.3866,2026-05-20
ANDR.VI,PASSED,53.86,0.276,0.3809,1.0475,2026-05-20
HOLN.SW,PASSED,51.45,0.3837,0.1824,1.0976,2026-05-20
BP.L,PASSED,57.2,0.2881,0.3338,0.6533,2026-05-20
NOVN.SW,PASSED,55.46,0.1773,0.5989,0.546,2026-05-20
VK.PA,PASSED,50.73,0.438,0.3927,1.0246,2026-05-20
ACA.PA,REVIEW_REQUIRED,63.07,0.234,0.4404,1.0611,2026-05-20
AGS.BR,PASSED,54.23,0.2267,0.4279,0.8977,2026-05-20
NG.L,PASSED,46.74,0.2036,0.1425,0.3571,2026-05-20
ACKB.BR,PASSED,67.95,0.1924,0.7027,0.8416,2026-05-20
INDU-C.ST,PASSED,50.52,0.2094,0.3987,1.1121,2026-05-20
SSAB-B.ST,PASSED,49.0,0.414,0.494,1.2715,2026-05-20
BGN.MI,REVIEW_REQUIRED,56.47,0.2585,0.565,1.2069,2026-05-20
PAF.L,PASSED,63.96,0.4787,0.7605,0.5023,2026-05-20
ANTO.L,PASSED,33.24,0.3973,0.3903,1.4749,2026-05-20
IHG.L,REVIEW_REQUIRED,64.44,0.2487,0.6305,1.0313,2026-05-20
SB1NO.OL,REVIEW_REQUIRED,62.9,0.2172,0.6567,0.6861,2026-05-20
TRN.MI,PASSED,58.32,0.1896,0.5788,0.4705,2026-05-20
IPN.PA,PASSED,52.16,0.2777,0.3938,0.648,2026-05-20
AZM.MI,PASSED,54.75,0.2724,0.5203,1.3525,2026-05-20
PSPN.SW,PASSED,49.36,0.1612,0.3536,0.3809,2026-05-20
RBI.VI,REVIEW_REQUIRED,49.05,0.3921,0.539,1.5012,2026-05-20
ELI.BR,PASSED,61.76,0.2706,0.2413,0.504,2026-05-20
MOBN.SW,PASSED,56.78,0.1632,0.3055,0.4173,2026-05-20
MT.AS,PASSED,29.83,0.3708,0.3736,1.6502,2026-05-20
BOL.ST,PASSED,37.51,0.3729,0.2588,1.2215,2026-05-20
SOBI.ST,PASSED,55.31,0.3295,0.6059,0.6839,2026-05-20
HSX.L,PASSED,54.44,0.2547,0.5498,0.7074,2026-05-20
ORNBV.HE,PASSED,55.58,0.2817,0.4866,0.5128,2026-05-20
LR.PA,PASSED,50.04,0.2465,0.4109,1.1171,2026-05-20
TEN.MI,PASSED,57.97,0.3316,0.6743,0.8836,2026-05-20
VZN.SW,PASSED,66.1,0.2212,0.5855,0.8058,2026-05-20
IGG.L,PASSED,65.02,0.2297,0.5163,0.6507,2026-05-20
FLS.CO,PASSED,32.57,0.3491,0.3823,1.4276,2026-05-20
SPSN.SW,PASSED,57.9,0.1563,0.5574,0.4122,2026-05-20
METSO.HE,PASSED,27.97,0.3429,0.3109,1.578,2026-05-20
CABK.MC,REVIEW_REQUIRED,63.49,0.2961,1.0511,0.9901,2026-05-20
ADDT-B.ST,PASSED,36.64,0.3544,0.4495,1.4996,2026-05-20
PRY.MI,PASSED,60.23,0.3238,0.9698,1.3951,2026-05-20
SALM.OL,PASSED,51.14,0.344,0.0467,0.5225,2026-05-20
ALK-B.CO,PASSED,57.34,0.3697,0.2679,0.8864,2026-05-20
FRES.L,PASSED,66.31,0.4248,0.5595,0.6916,2026-05-20
LOOMIS.ST,PASSED,51.24,0.2818,0.4301,0.8267,2026-05-20
VATN.SW,REVIEW_REQUIRED,59.69,0.1701,0.7402,0.4138,2026-05-20
BAER.SW,REVIEW_REQUIRED,30.77,0.2916,0.1583,1.3785,2026-05-20
BPE.MI,REVIEW_REQUIRED,52.59,0.3625,1.0612,1.3822,2026-05-20
HLMA.L,PASSED,62.61,0.2569,0.3395,1.0689,2026-05-20
AKRBP.OL,PASSED,48.69,0.345,0.4107,0.3087,2026-05-20
LAGR-B.ST,PASSED,44.09,0.3524,0.5204,1.3957,2026-05-20
SREN.SW,REVIEW_REQUIRED,59.83,0.2197,0.5255,0.8502,2026-05-20
BKW.SW,PASSED,44.67,0.2319,0.3453,0.5394,2026-05-20
BC.MI,PASSED,38.86,0.3493,0.2883,1.3932,2026-05-20
ACP.WA,PASSED,63.78,0.3194,0.714,0.7468,2026-05-20
PKN.WA,PASSED,64.19,0.3201,0.526,0.7317,2026-05-20
PZU.WA,PASSED,69.75,0.2718,0.6372,0.9241,2026-05-20
TPE.WA,PASSED,61.83,0.4123,0.4688,0.6363,2026-05-20
KGH.WA,PASSED,33.28,0.4284,0.2008,1.5269,2026-05-20
GAW.L,PASSED,59.75,0.3068,0.2483,0.9784,2026-05-20
CDR.WA,PASSED,54.44,0.4145,0.154,0.8973,2026-05-20
CCH.L,PASSED,65.31,0.2404,0.3094,0.7388,2026-05-20
GTT.PA,PASSED,62.8,0.2812,0.7907,0.5748,2026-05-20
ISS.CO,PASSED,61.95,0.285,0.5013,0.9767,2026-05-20
PLUS.L,PASSED,67.53,0.2396,0.8097,0.4498,2026-05-20
