ticker,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage,rf_rate_assumption,benchmark_used
OR.PA,Consumer Staples,0.2439,-0.2992,-0.0463,1.0063,100.0,73.44398340248962,22.40663900414937,11.618257261410788,100.0,44.9,0.0,ok,ok,hard_exclude,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,24.39,-29.92,1.0063,2026-05-20,0.025,^STOXX
OMV.VI,Energy,0.2848,-0.3546,0.4449,0.8517,100.0,55.18672199170124,38.58921161825726,50.20746887966805,100.0,57.68,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,28.48,-35.46,0.8517,2026-05-20,0.025,^STOXX
SRT3.DE,Health Care,0.4528,-0.7068,-0.3191,1.357,25.0,3.734439834024897,97.0954356846473,2.0746887966804977,25.0,35.5,0.0,soft_flag,hard_exclude,hard_exclude,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M02:mdd<-70%; M03:sharpe<0,45.28,-70.68,1.357,2026-05-20,0.025,^STOXX
IBE.MC,Utilities,0.1864,-0.2339,0.6481,0.5681,75.0,95.4356846473029,7.676348547717836,75.10373443983403,75.0,58.92,0.0,ok,ok,ok,defensive,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,18.64,-23.39,0.5681,2026-05-20,0.025,^STOXX
REP.MC,Energy,0.2729,-0.362,0.6768,0.5292,75.0,61.410788381742734,40.66390041493776,77.59336099585063,75.0,62.76,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.29,-36.2,0.5292,2026-05-20,0.025,^STOXX
SSE.L,Utilities,0.2375,-0.2729,0.2433,0.5447,75.0,76.97095435684648,17.84232365145229,22.821576763485478,75.0,42.59,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,23.75,-27.29,0.5447,2026-05-20,0.025,^STOXX
AIXA.DE,Technology,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX
BKT.MC,Financials,0.2878,-0.3089,0.854,0.9554,100.0,53.11203319502075,25.31120331950207,92.5311203319502,100.0,65.98,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,28.78,-30.89,0.9554,2026-05-20,0.025,^STOXX
INGA.AS,Financials,0.2794,-0.3909,0.7731,1.2853,50.0,58.09128630705394,49.37759336099585,86.72199170124482,50.0,62.45,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,27.94,-39.09,1.2853,2026-05-20,0.025,^STOXX
CS.PA,Financials,0.213,-0.2439,0.697,0.9932,100.0,86.30705394190872,9.543568464730285,79.25311203319502,100.0,63.9,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,21.3,-24.39,0.9932,2026-05-20,0.025,^STOXX
RIO.L,Materials,0.2706,-0.3533,0.0802,0.8427,100.0,63.27800829875518,38.17427385892116,14.937759336099585,100.0,48.59,0.0,ok,ok,soft_flag,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.06,-35.33,0.8427,2026-05-20,0.025,^STOXX
VOLV-B.ST,Industrials,0.2516,-0.2845,0.4874,1.1813,50.0,69.29460580912863,19.502074688796682,55.601659751037346,50.0,46.39,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,25.16,-28.45,1.1813,2026-05-20,0.025,^STOXX
SCYR.MC,Industrials,,,,,,,,,,,,,,,,PASS,PASS,DATA-INCOMPLETE,FAIL,PASS,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,2026-05-20,0.025,^STOXX
KPN.AS,Communications,0.1509,-0.209,0.7887,0.1834,,99.1701244813278,3.734439834024897,88.38174273858921,,62.47,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,15.09,-20.9,0.1834,2026-05-20,0.025,^STOXX
TSCO.L,Consumer Staples,0.2027,-0.3434,0.5714,0.3741,,90.45643153526972,35.684647302904565,67.63485477178423,,64.09,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.27,-34.34,0.3741,2026-05-20,0.025,^STOXX
LSEG.L,Financials,0.2375,-0.4071,0.082,0.4977,75.0,76.97095435684648,55.601659751037346,15.352697095435685,75.0,51.68,0.0,ok,ok,soft_flag,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,23.75,-40.71,0.4977,2026-05-20,0.025,^STOXX
GLE.PA,Financials,0.3452,-0.4581,0.6027,1.494,0.0,27.385892116182575,67.21991701244814,70.95435684647303,0.0,46.93,0.0,ok,soft_flag,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,34.52,-45.81,1.494,2026-05-20,0.025,^STOXX
BNP.PA,Financials,0.2853,-0.3411,0.475,1.3311,25.0,54.356846473029044,34.85477178423237,54.149377593360995,25.0,42.57,0.0,ok,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,28.53,-34.11,1.3311,2026-05-20,0.025,^STOXX
AGN.AS,Financials,0.2817,-0.3028,0.5299,1.2056,50.0,56.63900414937759,23.651452282157678,61.82572614107884,50.0,46.97,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,28.17,-30.28,1.2056,2026-05-20,0.025,^STOXX
G.MI,Financials,0.1934,-0.3077,1.0066,0.8575,100.0,93.3609958506224,24.896265560165972,97.5103734439834,100.0,75.39,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,19.34,-30.77,0.8575,2026-05-20,0.025,^STOXX
ORA.PA,Communications,0.1614,-0.2003,0.9683,0.1405,,97.9253112033195,2.489626556016603,96.2655601659751,,64.21,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,16.14,-20.03,0.1405,2026-05-20,0.025,^STOXX
SU.PA,Industrials,0.2903,-0.3598,0.4543,1.4551,0.0,51.03734439834025,39.41908713692946,51.45228215767634,0.0,37.47,0.0,ok,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,29.03,-35.98,1.4551,2026-05-20,0.025,^STOXX
AI.PA,Materials,0.1881,-0.2317,0.4118,0.8472,100.0,95.02074688796681,7.053941908713696,45.643153526970956,100.0,54.81,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,18.81,-23.17,0.8472,2026-05-20,0.025,^STOXX
AD.AS,Consumer Staples,0.1899,-0.2069,0.5277,0.354,,94.19087136929461,2.904564315352701,61.41078838174274,,53.13,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,18.99,-20.69,0.354,2026-05-20,0.025,^STOXX
RTO.L,Industrials,0.322,-0.5274,-0.0876,0.8484,100.0,38.17427385892116,78.21576763485477,8.71369294605809,100.0,53.71,0.0,ok,soft_flag,hard_exclude,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,32.2,-52.74,0.8484,2026-05-20,0.025,^STOXX
SHB-A.ST,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX
BCP.LS,Financials,0.3644,-0.3842,0.929,1.2517,50.0,18.257261410788388,47.30290456431535,94.6058091286307,50.0,56.22,0.0,soft_flag,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,36.44,-38.42,1.2517,2026-05-20,0.025,^STOXX
NOKIA.HE,Technology,0.3282,-0.4767,0.6451,1.0525,100.0,35.26970954356847,72.19917012448133,74.68879668049793,100.0,71.12,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,32.82,-47.67,1.0525,2026-05-20,0.025,^STOXX
BESI.AS,Technology,0.4736,-0.5452,0.6095,1.658,0.0,2.489626556016603,82.57261410788382,72.19917012448133,0.0,46.93,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,47.36,-54.52,1.658,2026-05-20,0.025,^STOXX
TIT.MI,Communications,0.4047,-0.6555,0.1942,1.0668,100.0,8.713692946058089,95.850622406639,19.502074688796682,100.0,56.35,0.0,soft_flag,soft_flag,soft_flag,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,40.47,-65.55,1.0668,2026-05-20,0.025,^STOXX
UU.L,Utilities,0.2244,-0.2958,0.1591,0.4346,75.0,83.40248962655602,21.576763485477173,17.842323651452283,75.0,43.51,0.0,ok,ok,soft_flag,defensive,PASS,PASS,PASS,SOFT_FLAG,PASS,GATE_PASS,PASSED,,22.44,-29.58,0.4346,2026-05-20,0.025,^STOXX
ASML.AS,Technology,0.3835,-0.4793,0.4204,1.7248,0.0,13.485477178423238,72.61410788381743,46.47302904564315,0.0,38.42,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,38.35,-47.93,1.7248,2026-05-20,0.025,^STOXX
SCMN.SW,Communications,0.1468,-0.2375,0.5026,0.1867,,99.5850622406639,8.29875518672199,57.676348547717836,,54.71,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,14.68,-23.75,0.1867,2026-05-20,0.025,^STOXX
DTE.DE,Communications,0.2001,-0.2446,0.5739,0.5944,75.0,90.87136929460581,9.958506224066383,68.04979253112033,75.0,56.58,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.01,-24.46,0.5944,2026-05-20,0.025,^STOXX
BEAN.SW,Industrials,0.3311,-0.4404,0.416,1.3179,25.0,34.02489626556017,63.90041493775934,46.058091286307054,25.0,44.79,0.0,ok,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,33.11,-44.04,1.3179,2026-05-20,0.025,^STOXX
DANSKE.CO,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX
TTE.PA,Energy,0.2437,-0.2672,0.7291,0.6892,100.0,73.85892116182572,15.352697095435687,83.40248962655602,100.0,64.4,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,24.37,-26.72,0.6892,2026-05-20,0.025,^STOXX
CNA.L,Utilities,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX
NHY.OL,Materials,0.3537,-0.3757,0.5303,0.9799,100.0,24.066390041493776,44.398340248962654,62.24066390041494,100.0,56.8,0.0,soft_flag,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,35.37,-37.57,0.9799,2026-05-20,0.025,^STOXX
ELE.MC,Utilities,0.2135,-0.3094,0.6009,0.5761,75.0,85.89211618257261,25.726141078838168,70.53941908713693,75.0,61.06,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,21.35,-30.94,0.5761,2026-05-20,0.025,^STOXX
