ticker,bics_sector,E_score,S_score,G_score,ESG_score,esg_data_flag,sasb_e_weight,sasb_s_weight,sasb_g_weight,bloomberg_esg_disclosure,sustainalytics_risk_score,tri_sources_available,tri_passes,triangulation_result,carbon_intensity,ci_source,data_vintage
GEB,Financials,100.0,61.04,64.07612201868493,70.2,OK,0.2,0.35,0.45,45.72,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
6GF,Financials,75.03,73.15,50.2568116146735,63.22,OK,0.2,0.35,0.45,46.15,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
04Q,Financials,100.0,46.28,64.96612562484503,65.43,OK,0.2,0.35,0.45,43.02,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
DP9,Industrials,100.0,41.18,61.07466519881105,71.63,OK,0.45,0.35,0.2,46.4,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
7LB,Consumer Staples,,55.1,47.11807044133967,58.24,OK,0.35,0.4,0.25,33.29,,2,1,WATCHLIST,85.39,sector_median_imputed,2026-05-14
M3N,Financials,100.0,25.87,83.38377572667022,66.58,OK,0.2,0.35,0.45,48.79,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
61L0,Health Care,100.0,29.69,64.12261796868806,59.32,OK,0.25,0.4,0.35,29.74,,2,1,WATCHLIST,15.735,sector_median_imputed,2026-05-14
3ZV,Industrials,100.0,38.7,0.0,58.54,OK,0.45,0.35,0.2,18.73,,2,1,WATCHLIST,4.87,sector_median_imputed,2026-05-14
D1NC,Financials,86.23,59.0,55.91292626015536,63.06,OK,0.2,0.35,0.45,49.4,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
CJ2,Financials,100.0,77.68,53.846331360264,71.42,OK,0.2,0.35,0.45,24.18,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
EZ4,Financials,,,,,LOW_DATA,0.2,0.35,0.45,,,0,0,LOW_DATA,0.5349999999999999,sector_median_imputed,2026-05-14
K5X,Financials,100.0,62.22,50.0,64.28,OK,0.2,0.35,0.45,21.28,,2,1,WATCHLIST,0.5349999999999999,sector_median_imputed,2026-05-14
