ticker,annual_return_pct,annual_volatility_pct,sharpe_ratio,max_drawdown_pct,data_vintage,roe_pct,debt_to_equity,revenue_growth_pct,beta
ISP.MI,19.64,29.87,0.557,-54.12,2026-05-12,14.01,,8.5,
JYSK.CO,16.3,27.76,0.479,-60.35,2026-05-12,10.29,,-8.1,
KBC.BR,17.75,29.99,0.492,-48.19,2026-05-12,13.65,,12.4,
KBCA.BR,19.13,27.59,0.585,-53.51,2026-05-12,8.82,0.028,,
KCR.HE,22.82,35.4,0.56,-64.19,2026-05-12,21.15,0.21,-7.7,
KGH.WA,24.01,39.73,0.529,-63.22,2026-05-12,11.53,0.178,14.3,
LAGR-B.ST,29.7,35.12,0.76,-44.71,2026-05-12,29.38,1.22,15.9,
LOTB.BR,21.21,25.25,0.721,-41.71,2026-05-12,20.87,0.363,10.3,
LR.PA,15.42,23.75,0.523,-36.14,2026-05-12,16.86,0.851,11.4,
MUV2.DE,16.49,24.03,0.561,-48.43,2026-05-12,18.46,0.248,3.0,
MYCR.ST,29.63,37.24,0.715,-55.56,2026-05-12,22.17,0.051,16.9,
NDA-FI.HE,15.41,24.79,0.501,-55.04,2026-05-12,15.73,,1.4,
NDA.DE,22.28,34.11,0.565,-59.28,2026-05-12,17.11,0.091,21.4,
NEX.PA,21.46,36.96,0.499,-60.41,2026-05-12,11.44,0.943,,
NHY.OL,21.4,33.85,0.543,-65.83,2026-05-12,6.19,0.307,-11.7,
NKT.CO,25.53,39.06,0.577,-74.42,2026-05-12,13.59,0.114,-4.8,
NN.AS,17.74,25.1,0.587,-46.3,2026-05-12,5.59,0.647,-1.5,
NOKIA.HE,15.16,34.16,0.356,-66.56,2026-05-12,3.72,0.156,2.4,
NOVN.SW,11.51,17.9,0.476,-32.01,2026-05-12,34.93,1.207,-0.7,
NWG.L,13.58,33.56,0.315,-76.87,2026-05-12,14.07,,7.5,
NXT.L,12.76,30.84,0.316,-57.63,2026-05-12,50.81,1.016,15.3,
OMV.VI,19.7,32.03,0.521,-70.07,2026-05-12,6.81,0.37,-4.1,
ORNBV.HE,15.39,28.22,0.439,-58.91,2026-05-12,48.37,0.294,17.8,
PKN.WA,16.6,33.01,0.412,-69.19,2026-05-12,1.82,0.263,-3.3,
PKO.WA,20.53,32.3,0.543,-58.43,2026-05-12,19.27,,-3.5,
PRY.MI,26.4,32.11,0.729,-49.85,2026-05-12,22.7,0.762,10.1,
PST.MI,21.6,24.83,0.749,-46.62,2026-05-12,19.02,7.236,0.3,
PZU.WA,15.34,27.03,0.456,-51.34,2026-05-12,20.28,0.625,0.0,
RACE.MI,24.03,27.37,0.768,-43.44,2026-05-12,41.97,0.722,3.2,
RBI.VI,22.64,36.58,0.537,-65.9,2026-05-12,6.13,,-6.3,
REP.MC,17.84,30.01,0.494,-64.76,2026-05-12,9.49,0.492,8.4,
RILBA.CO,20.67,21.51,0.821,-37.09,2026-05-12,20.37,,-2.4,
RWE.DE,22.17,28.46,0.674,-61.74,2026-05-12,8.99,0.474,-42.3,
