ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage
SKT,STB.OL,Storebrand ASA,Financials,Average,17.1,Low,Good,3,0,PASS,True,False,False,False,,33.0,0.3354659657845341,86.49789029535864,78.15,49.49,56.07,86.5,0.72,sector_median_imputed,2026-05-20
0B2,BG.VI,BAWAG Group AG,Financials,Below Average,15.57,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,69.0,0.2210473693127074,71.30801687763713,78.15,66.86,31.14,71.31,0.72,sector_median_imputed,2026-05-20
HMI,RMS.PA,Hermes International SCA,Consumer Goods,Below Average,11.2,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,200.0,-0.8309366562541535,12.23628691983122,27.98,25.16,8.79,12.24,0.0,sector_median_imputed,2026-05-20
CBK,CBK.DE,Commerzbank AG,Financials,Below Average,16.6,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,47.0,0.2731554292680057,80.59071729957806,78.15,59.79,42.01,80.59,0.72,sector_median_imputed,2026-05-20
3ZV,BFT.WA,Benefit Systems,Services,Average,13.32,Low,Medium,3,0,PASS,True,False,False,False,,74.0,0.1968498366765832,69.19831223628692,78.15,81.8,19.42,69.2,19.57,sector_median_imputed,2026-05-20
GBF,GBF.DE,Bilfinger SE,Resource Transformation,Average,36.98,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
B9W,BKW.SW,BKW AG,Infrastructure,Average,37.49,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,629.82,sector_median_imputed,2026-05-20
BWJ1,BOL.ST,Boliden AB,Extractives & Minerals Processing,Average,17.43,Low,Good,3,0,PASS,True,False,False,False,,166.0,-0.4924341296383557,27.0042194092827,34.26,18.04,45.77,27.0,13.87,bloomberg_calc,2026-05-20
BYG,EN.PA,Bouygues SA,Infrastructure,Average,31.68,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20
EBO,EBS.VI,Erste Group Bank AG,Financials,Average,14.2,Low,Medium,3,0,PASS,True,False,False,False,,176.0,-0.5431985605583806,22.36286919831224,6.47,73.23,58.42,22.36,0.72,sector_median_imputed,2026-05-20
4BE,BPE.MI,BPER Banca S.p.A.,Financials,Average,14.9,Low,Medium,3,0,PASS,True,False,False,False,,83.0,0.1468270217450559,65.40084388185655,78.15,48.57,31.85,65.4,0.72,sector_median_imputed,2026-05-20
